date,rating,userlocation,restaurant,comment
2011-03-16,5.0,"Round Rock, TX",El Pollo Rico Restaurant,"Best food I've had in the triangle for authentic Latin food. This rivals the pink taco truck back home. I can't say that in few days I've been here twice.I've been back so much, I need to just say that I see the same customers. This is a little known gem and needs the attention it deserves. soooo yummy!!!!THANK YOU!!!"
2011-06-29,4.0,"Wilmington, NC",El Pollo Rico Restaurant,This place is AWESOME. Just down home authentic Mexican/Central American food. I was in Raleigh for the day and just stumbled across this place. I ate with three Mexican friends and they all LOVED it. I would recommend this place to anyone looking for authentic and delicious food. I signed up on yelp just to give this place a review.
2011-09-14,5.0,"Portland, OR",Seaboard Cafe,"I love this place. Definitely one of my favorite lunch spots in Raleigh on a nice day. Sure, it's a little overpriced. But they treat you like family and the food is consistently delicious.I love that they have fresh herbs to add to your lemonade or tea. I love the pickled carrots. I love that you sit outside in the middle of the best garden center in town. I love Rick!Their veggie sandwich is my favorite - I try to make it at home all the time. The grilled chicken sandwich is yummy. The potato and pasta salads never disappoint. The specials are always good. And let's not even talk about the tempting pastries at the checkout counter. I don't usually eat sweets, but damn! I think the charm and nomminess make it worth the wait in line and the extra couple bucks, for sure. Don't forget to tip your runner!"
2011-09-15,4.0,"Raleigh, NC",Person Street Pharmacy,"Can't believe no one has reviewed this place yet.  Person Street Pharmacy has been around for decades and comes with a lunch counter.  The lunch counter has all the basics hamburgers, hotdogs, grilled cheese, and malts.  The usually run an all day special where you can get lunch for under $5.  Also they have the friendliest service imaginable.  Not to mention the chance to eat with all the locals.  Just in case you haven't eaten at a lunch counter before, be aware this isn't gourmet. Think stadium food only cleaner and a bit more variety."
2011-09-19,4.0,"Cary, NC",El Pollo Rico Restaurant,"If you want REAL Mexican food, this place is for you!  Tacos with fresh cilantro, lime and corn tortillas, NOT FRIED!!"
2011-10-17,4.0,"Durham, NC",Seaboard Cafe,"I work near Seaboard Cafe and try to get there for lunch at least once every couple of weeks. The cafe is in a lovely setting inside a garden center (and contrary to what another reviewer said, most tables are inside; only a few are out). The veggie sandwich on sunflower is fabulous as are the different chicken salads. Tip: Sub the fruit salad for the chips. Table settings are rustic, befitting the location.  Rick and the wait staff are always welcoming. I have been going for years and have never had a bad experience."
2011-10-21,5.0,"Raleigh, NC",Person Street Pharmacy,This is a great place if you want that good southern hospitality. Just if you are in a rush I wouldn't go during lunch.
2011-10-31,4.0,"Raleigh, NC",Shish Kabob,"Man can not live by music alone so a stop by at Shish Kabob was a must-do during the Hopscotch music festival!  This small storefront was packed but the staff here is efficient.  I ordered up a chicken shwarma sandwich which was a tightly rolled up pita with chicken breast, lettuce and tomato, yum!  Great food to eat on the run, Shish serves up their wraps in tin foil so you just peel it off as you eat.  The sandwich was well put-together with plenty of grilled meat and veggies.  For a quick stop in, Shish Kabob does the job if you're in City Plaza.  Grab a seat outside, watch the people go by and enjoy a relaxed lunch here!"
2011-11-29,3.0,"Playa del Carmen, Cancún, Mexico",Seaboard Cafe,"Have lunch in a gardenVisits: Once in awhileR-Line Stop: R3If you have never been to Logan's Trading Company, the urban plant and flower nursery, then you may not know about little café located inside Logan's. Seaboard Café opened in 1991 and is hidden among the flowers at Logan's. There's only a small, unobtrusive sign next to the main entrance of Logan's advertising it's location and existence. On Saturday after working out at O2 Fitness Seaboard, my husband and I followed the heavenly, enticing scents wafting on the air to Seaboard Café. When you walk in the main entrance, go all the way to the back right of the building to find the café. Rick Perales, the owner, welcomed us with a big smile. He's a jovial, charismatic guy and he was happy to see us even though he didn't know us. But he did know many of the other patrons and it was apparent that the customers really liked him. I asked Rick about the tortilla soup. He explained that is was made from tomatoes, onions, broth, a little pepper and some cumin. Yes, as advertised, menu items are fresh and made from scratch daily. Awesome! Rick took our order just before we reached the cash register. I selected the soup and salad combination. Andy ordered the same thing and added on some Cross-Tie (waffle-like) fries. All the staff were incredibly friendly and helpful. As I was getting a cup of water, I noticed the bowl of sliced lemons and another bowl of fresh mint next to the tea station. Wow, that's special! I added a lemon slice and a sprig of mint to my water...yum and it felt fancy. I like the little things. Since the weather was so pleasant, we picked a table outside. There were beautiful, blooming camillas close to our table and rows of flowering fall shrubs and annuals all around. Such a lovely spot. After a short wait, our meals were served. It's very casual at the café with paper plates and cups and plastic utensils. The soup was steaming hot which would be great on a cold day. Note to self: get hot soup at Seaboard Café this winter. The soup had good flavor and I liked the crunchy tortilla strips on top. For me the addition of a shake of salt made the soup perfect. I ordered the Greek salad but this salad was a loose interpretation of a Greek salad in that the olives were black olives but not kalamatas and the dressing was a light vinaigrette that was pinkish in color since it was made with red wine vinegar. Don't get me wrong, I'm not complaining. I'm just saying it was different from what I expected. I enjoyed the crisp, fresh salad and the light dressing was a healthier option than the normal heavy olive oil greek dressing. Andy gobbled up his soup and salad but he needed the order of waffle fries to fill him up. On a previous visit, I had the Turkey Club on Whole Wheat, which was a scrumptious sandwich with thinly sliced, lean turkey, two crisp strips of bacon, on toasted wheat bread. I also tried the pickled carrots, a signature side at Seaboard Café.Seaboard Café serves a delicious lunch in a garden setting in downtown Raleigh. Discover this hidden gem."
2012-01-02,5.0,"Raleigh, NC",Seaboard Cafe,"The Cafe is tucked behind the Garden shop. Remember, it is a garden shop, not a boutique hotel. It is a rough and ready place in a roll your sleeves up and let's get some dirt under your fingers Garden Shop. The cafe somewhat hides behind the Garden shop, which has an affinity for Christmas, so be aware of the many decorated trees as you swing in. Or you will be paying for more than your lunch.I love looking at the expertly decorated trees, and have often just admired the ornaments  without purchasing until I learned this year (after many years of gawping) that you can buy OFF of the tree. But I still feel guilty ruining the decorations.On to the cafe....The ambianceThe decor is forgivable, but not necessarily at first sight. Plastic garden chairs (albeit, the nice high backed ones) and basic tables. Look around though, and there are decorations ""borrowed"" or themed from the garden shop. LIke everything here, the decorations kind of chameleon into the walls and windows making the feel shabby chic. Not unclean, just a kind of comfortable clutter. Sit still and let your eyes linger. You'll find some creativity here.The food.I have eaten here twice for lunch.Once was a light soup and half sandwich.Very filling and honestly made.The muffin was not a steroid induced Arnie swartznegger gargantuan muffin filled with fakeness. It was normal sized and filled with imaginative flavors. I believe it was savory.I had soup of the day. No need to tell you what it was as it would be different the next time. But trust me. It was nice.The serviceThe first time, I was greeted by a very jocular man, who had a slight accent. It seemed as though he was/is the manager/owner of Seaboard Cafe. It seems to me, that this charming man has done a vulcan mind meld on his fellow co-workers as the ""friendly"" seems to be sucked right out of them and he is the only one with the bright smile and the jolly demeanor. The great thing, is that he genuinely means it. The rest of the staff slog around wiping tables and serving as though they can't wait for you to leave. The difference in his attitude and the attitude of his staff is day and night.My second visit yielded the same appearance of high gratitude and zest for life from the manager/owner and very little other than grumpiness from his staff. You smile, they grunt. You smile, they frown. Why go then?The food, for the price, is well made, honest and delicious. A great place for lunch when you are famished after a hard mornings work of planning your garden and picking up supplies."
